mfcc_0_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_0_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,band_0_80_mean,band_0_80_std,band_80_200_mean,band_80_200_std,band_200_800_mean,band_200_800_std,label
-82.21874,117.211624,-28.351511,29.522097,13.695039,35.19158,-6.112178,21.63861,-5.1678033,6.405454,-3.008458,15.300483,-3.3231428,11.407617,6.750849,8.393427,4.956901,6.3845005,4.785426,5.363999,6.277332,6.235999,4.508246,3.7971995,4.0046387,4.891368,73.291336,123.667534,7.0367723,5.2860327,1.5662332,1.1403468,1
-80.69614,118.39312,-25.658216,29.02603,15.421189,30.30279,-4.748859,21.829762,-11.9536085,6.2811947,-0.41005695,14.464384,-4.239556,5.532793,6.3292966,6.119755,5.928783,5.3091826,4.6290913,4.4887424,4.151702,4.722263,3.9231453,3.1959653,4.461092,3.9947388,65.19445,124.38476,5.5314317,6.217138,2.0069754,1.3068713,1
-66.86342,120.18445,-21.203407,26.304323,2.9408047,23.29249,-11.209587,15.348957,-7.441369,7.013888,-0.19788957,9.014093,-5.010575,9.435233,5.9083185,7.541993,7.5127974,5.0897675,5.576511,7.6185875,5.9008384,6.121903,4.8164515,4.3017716,3.4573708,5.0786242,61.131573,113.38885,8.338121,4.3953123,2.6155472,1.956241,1
-77.647125,122.12725,-22.504833,27.721571,14.283114,28.437265,-10.819331,15.794976,-5.628109,9.785225,-5.7745004,14.432964,1.3509077,12.222735,7.2878385,9.421239,4.4276333,8.263345,5.0011125,5.5739956,7.8546124,5.1866136,5.837886,4.4966183,4.6849327,5.4994054,68.48409,129.81511,12.039673,13.023468,2.6717248,2.021443,1
-77.20881,119.265396,-20.631884,24.907509,9.848966,34.47038,-6.045382,19.622395,-7.3924637,9.098202,-1.6628324,15.116645,-3.2697787,10.62898,8.586364,5.733697,5.3130875,7.6593404,6.1809983,5.6255975,6.3126836,8.908103,4.206088,3.8099415,6.7816987,5.674829,68.13582,121.97676,9.069282,5.649063,2.300188,1.5409776,1
-52.865322,111.71721,-41.75136,24.843872,11.76103,23.951393,-3.171175,19.645256,-8.81929,5.036784,-0.112415455,9.259305,-3.7856386,22.165972,8.259851,13.823386,5.4494214,7.5353146,4.809043,7.0202365,4.906729,4.036604,4.028916,5.0168247,3.7522824,3.7936819,59.25373,113.747734,5.7379594,8.691673,1.5116992,1.0329063,1
-60.648785,119.97621,-15.764143,26.517357,6.3376555,32.84203,-13.14652,11.885542,-4.9267573,1.2432282,-3.2098973,14.536521,-5.434761,8.775429,4.7068086,5.263952,4.5786076,5.993066,5.1557035,6.6536613,5.2684054,4.270008,4.7238855,4.8880095,4.238025,3.9181943,70.299286,128.11115,12.313525,8.872843,2.1657724,1.3861717,1
-66.184906,119.63295,-17.291021,27.14658,10.679834,27.37923,-10.4190235,16.023384,-7.896289,7.1123176,-2.7668204,8.896483,-6.4261928,15.857947,4.2288036,7.0358653,4.9626827,6.6056433,4.7624063,6.09587,5.4429803,4.3329062,3.8385158,4.1907516,3.8246312,3.0964575,69.161194,130.99052,5.5127378,3.8721478,1.7178787,1.5224739,1
-43.175232,100.323814,-25.71732,26.504387,4.8904815,29.310884,-9.465857,19.196993,-8.609671,6.5898685,-2.609206,12.410381,-7.4982386,15.190032,10.03189,6.8340263,4.275837,6.8819666,5.165595,5.709596,5.0549135,5.7830186,4.593731,4.222229,4.532566,4.8907413,59.85536,111.67336,8.591222,8.200475,2.2576365,1.6536907,1
-87.31275,119.0062,-23.575933,30.152473,17.413145,32.82354,-6.567296,22.794088,-5.3561215,10.218121,-5.0909543,15.4875765,1.2240635,9.569392,5.9870286,7.940538,5.118281,6.4203453,5.913974,4.477534,6.566935,4.598187,5.1262007,5.490274,4.128164,3.880738,69.38402,129.54794,5.205343,2.5595255,1.9312028,1.3192455,1
-79.45341,118.63994,-22.63545,29.308474,14.318751,29.699274,-9.838491,18.974527,-5.557704,11.124698,-1.3252118,16.88582,-1.9027652,10.408484,4.8743663,8.190117,3.6693318,6.420462,4.508329,5.036081,8.4880085,5.181629,4.939255,5.0659328,5.5116553,5.1578994,73.92882,129.40286,3.7669864,3.7501771,1.7683538,1.6659962,1
-85.93844,118.06049,-22.146034,28.316723,12.155427,34.590336,-11.887053,10.493271,-3.8342025,3.5355823,-2.0788474,15.738073,-5.8561115,9.016774,5.8184686,7.6848598,3.3043387,7.565808,4.9763227,4.635558,3.9324567,4.5845547,5.065523,4.4096513,2.7855086,3.269636,62.6396,115.908905,5.8199396,8.05181,1.4983304,1.228047,1
